CA36  24 01               A:80 X:00 Y:00 SR:25 SP:FB CYC:790
CA38  A0 40               A:80 X:00 Y:00 SR:E5 SP:FB CYC:793
CA3A  C0 40               A:80 X:00 Y:40 SR:65 SP:FB CYC:795
CA3C  D0 09               A:80 X:00 Y:40 SR:67 SP:FB CYC:797
CA3E  30 07               A:80 X:00 Y:40 SR:67 SP:FB CYC:799
CA40  90 05               A:80 X:00 Y:40 SR:67 SP:FB CYC:801
CA42  50 03               A:80 X:00 Y:40 SR:67 SP:FB CYC:803
CA44  4C 4B CA            A:80 X:00 Y:40 SR:67 SP:FB CYC:805
CA4B  EA                  A:80 X:00 Y:40 SR:67 SP:FB CYC:808
CA4C  B8                  A:80 X:00 Y:40 SR:67 SP:FB CYC:810
CA4D  C0 3F               A:80 X:00 Y:40 SR:27 SP:FB CYC:812
CA4F  F0 09               A:80 X:00 Y:40 SR:25 SP:FB CYC:814
CA51  30 07               A:80 X:00 Y:40 SR:25 SP:FB CYC:816
CA53  90 05               A:80 X:00 Y:40 SR:25 SP:FB CYC:818
CA55  70 03               A:80 X:00 Y:40 SR:25 SP:FB CYC:820
CA57  4C 5E CA            A:80 X:00 Y:40 SR:25 SP:FB CYC:822
CA5E  EA                  A:80 X:00 Y:40 SR:25 SP:FB CYC:825
CA5F  C0 41               A:80 X:00 Y:40 SR:25 SP:FB CYC:827
CA61  F0 07               A:80 X:00 Y:40 SR:A4 SP:FB CYC:829
CA63  10 05               A:80 X:00 Y:40 SR:A4 SP:FB CYC:831
CA65  10 03               A:80 X:00 Y:40 SR:A4 SP:FB CYC:833
CA67  4C 6E CA            A:80 X:00 Y:40 SR:A4 SP:FB CYC:835
CA6E  EA                  A:80 X:00 Y:40 SR:A4 SP:FB CYC:838
CA6F  A0 80               A:80 X:00 Y:40 SR:A4 SP:FB CYC:840
CA71  C0 00               A:80 X:00 Y:80 SR:A4 SP:FB CYC:842
CA73  F0 07               A:80 X:00 Y:80 SR:A5 SP:FB CYC:844
CA75  10 05               A:80 X:00 Y:80 SR:A5 SP:FB CYC:846
CA77  90 03               A:80 X:00 Y:80 SR:A5 SP:FB CYC:848
CA79  4C 80 CA            A:80 X:00 Y:80 SR:A5 SP:FB CYC:850
CA80  EA                  A:80 X:00 Y:80 SR:A5 SP:FB CYC:853
CA81  C0 80               A:80 X:00 Y:80 SR:A5 SP:FB CYC:855
CA83  D0 07               A:80 X:00 Y:80 SR:27 SP:FB CYC:857
